actual_fra,actual_eng,predicted_eng
je ne sais vraiment pas,i dont know really,i really dont know    
allezvous en je suis occupée,go away im busy,do you im busy    
nous sommes sauvées,were saved,were       
tom est trop jeune,tom is too young,tom is too strong    
faisle venir,have him come,bring him      
lhiver est doux cette année,this winter is warm,now room new     
tes une drôle de fille,youre a funny girl,youre a funny gal    
nous vous avons attrapées,we caught you,we got you     
cette chaise est laide,this chair is ugly,this is      
il sagit dun outrage,its an outrage,this a      
qui que ce soit dautre sy rendil ,is anyone else going,whats else      
tom est formidable,tom is wonderful,tom is great     
comment pourraistu maider ,how could you help me,how could you help me   
cest quoi ,what is it,what this      
je me sens soulagé,i feel relieved,i feel relieved     
il nest pas à lintérieur,hes not in,he is not in    
je navais rien à cacher,i had nothing to hide,i had nothing a worse   
avonsnous heurté quelque chose ,did we hit something,do you sing a tom   
nestu pas daccord ,do you disagree,dont you agree ok    
vous pouvez discuter plus tard,you can talk later,you may come later    
allons manger ensemble,lets go eat together,lets go together     
vous êtes lunatique,youre temperamental,youre temperamental      
le voleur courait rapidement,the thief ran quickly,the wind blew fast    
cest la vérité,its genuine,thats the reality     
je suis heureux daider,im happy to help,im happy glad help    
elles ne vous aideront pas,they wont help you,they wont help you    
profite bien de ton weekend ,enjoy your weekend,enjoy your weekend     
laissemoi marrêter ici,let me stop here,let me help here    
aimezvous danser ,do you like dancing,do you like     
je meurs de soif,im very thirsty,im dangerous      
il nous faut bouger,we have to move,we need move     
je suis amoureuse de ton fils,i love your son,i love your son    
ramène tom à la maison,take tom home,tom  home     
jai mangé mon sandwich,i ate my sandwich,i ate my sandwich    
cest comme ça que cela fonctionne,this is how it works,this how is works    
quant à moi je courus au dehors,i ran outside,i ran outside     
lancien système fonctionne,the old system works,itll one      
nous ne connaissions personne,we knew no one,we knew no     
je suis un héros,im a hero,im a hero     
voici mes conditions,these are my terms,what are my     
tom est soulagé,tom is relieved,tom is safely     
bon boulot ,good job,do you a good job   
grouillezvous les filles ,hurry up girls,call the girls     
tom semble fasciné,tom seems mesmerized,tom seems mesmerized     
je suis seulement fatigué,im just tired,im just tired     
je viens de le rencontrer,i just met him,im just each it    
lorateur est jeune,the speaker is young,this is young     
vous êtes fort craintive,youre very timid,youre very timid     
barretoi,leave at once,get away      
je la lui ai fait écrire,i had him write it,i had him write it   
beau travail ,good job,is there      
je veux que tom soit licencié,i want tom fired,i want tom     
nous sommes très différentes,were very different,were quite different     
où irezvous ,where will you go,where will you be    
cest maintenant le moment,now is the time,its now      
buvez du café,drink some coffee,have some coffee     
ils partagèrent largent,they shared the money,they shared the money    
je lai rencontré hier,i met him yesterday,i met him yesterday    
que peuton y faire ,what can you do,what can we do    
sontils nouveaux ,are they new,are they headed     
donneznous quelques heures,give us a few hours,give me a few hours   
jai été très malchanceuse,i was really unlucky,i was very unlucky    
ne faites pas attention à lui,ignore him,dont out at up    
estce que votre chien mord ,does your dog bite,is that your dog    
il pleut fortement,it is raining hard,its raining      
nous navons pas prévu ceci,we didnt plan this,we didnt this     
ils allaient ensemble,they went together,they went together     
jen ai marre de toi,im sick of you,im sick of     
jai été bien éduquée,i was raised right,i was a well    
mastu trahie ,have you betrayed me,have you betrayed me    
cétait lidée de tom,it was toms idea,that was toms tom    
cest un bon garçon,hes a good boy,hes a good lad boy   
comment était la plage ,how was the beach,how did the war    
tom la abattue,tom shot her,tom tasted the     
personne ne ma contacté,nobody contacted me,no one nonsense     
ne freine pas dun coup,dont brake suddenly,dont read a life    
il nest pas disponible,hes not available,he is not available    
la réponse est « oui »,the answers yes,the answers yes     
jaime acheter des vêtements,i like buying clothes,i like  some    
metstoi de côté je te prie,please step aside,step aside please     
je ne suis pas une enfant unique,im not an only child,im not a only child   
ça va bientôt séclaircir,it will clear up soon,youll be soon     
nessaye pas de nous arnaquer ,dont try to trick us,try  to us    
tom avait un couteau,tom had a knife,tom has a sons    
laisse tomber,forget it,leave it      
je vous guiderai,ill guide you,ill guide you     
vous êtes saoules,youre drunk,youre drunk      
examineles,examine them,take for      
cest beaucoup dargent,thats a lot of money,thats is a of money   
aimezvous les robots ,do you like robots,do you like robots    
je connais la sœur de tom,i know toms sister,i know toms sister    
jai passé une nuit délicieuse,i had a lovely night,i had a  night   
tom nous a aimé,tom loved us,tom overheard us     
ce sont mes amies,they are my friends,they are my friends    
tom le fait,tom does that,tom did it     
tu as le sens de lobservation,youre observant,you  math     
je cuis ,im baking,i am      
nous sommes en train de gagner,were winning,were moving      
estce dargent dont tu as besoin ,is it money you need,is it money need    
il commença à neiger,it started to snow,it began to snow    
javais une panne,i had a breakdown,i had no     
à présent on ne le découvrira jamais,now well never know,ive never dream     
je suis sérieux,im not bluffing,im serious      
je déteste ce film,i hate that movie,i hate this movie    
agenouillezvous ,get on your knees,lets buy      
ils lont encore fait,they did it again,they all it that    
arrête de tinquiéter,stop worrying,stop  worrying     
vous êtes fort courageux,youre very brave,youre very brave     
je le fis pour toi,i did it for you,i did it for you   
qui devraisje informer ,who should i inform,how could you     
cest sans rapport avec la question,this is irrelevant,its belongs for him    
nous avons besoin de ton aide,we need your help,we need your help    
il vous a trahie,he betrayed you,he betrayed you     
en avant,get going,go ahead      
bien je suis d’accord,ok i agree,im am busy     
il a eu une triste fin,he died a sad death,he had a  heart   
je vois que vous êtes prêtes,i see you are ready,i see what you    
cest une ville sympa,its a nice town,thats a good     
jaime ton style,i like your style,i like your style    
jai un jumeau,i am a twin,i a  twin    
posezle où vous voulez,put it where you like,find what  you    
jespère que vous êtes heureux,i hope youre happy,i hope youre happy    
cest à proximité,its close by,thats is      
ils ne cessent dappeler,they keep calling,they dont know     
jaimerais voir ça,id like to see that,id like to see that   
je dors peu,i dont sleep much,im a  sleeper    
elle la réveillé,she woke him up,she tied him     
tom réveilletoi,tom wake up,tom making up     
je devrais apprendre le français,i should learn french,i can teach french    
jai apprécié tes amies,i liked your friends,i liked your friends    
ne soyez pas si négligents ,dont be so careless,dont be so petty    
questu en train de faire ,what are you doing,how you      
jeus un mouvement de recul,i cringed,i cringed      
vers quelle heure ,about what time,were different      
tom nest pas médecin,tom isnt a doctor,tom isnt a doctor    
tu ne peux pas simplement abandonner,you cant just quit,you cant just quit    
tom na pas de regrets,tom has no regrets,tom isnt not regretful    
tienstoi droite ,stand up straight,turn up straight     
tom est hideux,toms repulsive,tom is repulsive     
nous sommes tous célibataires,were all single,were all free     
je vous suivrai,ill follow you,ill follow you     
il est huit heures trente,its eightthirty,its 830      
ne lui faites pas confiance,dont trust him,dont trust him     
maintenant je suis bien réveillé,now im wide awake,im now on guys    
aimezvous discuter ,do you enjoy talking,do you enjoy talking    
je lai laissé tomber,i let it fall,i gave it     
puisje aller te chercher une boisson ,can i get you a drink,can you  a    
je sais que tu sais cela,i know you know this,i know you know that   
il se met rarement en colère,he seldom gets angry,he might vote angry    
je dois les prévenir,i must warn them,i must to warn them   
amusezvous bien ,have fun,have a good     
jaime sa musique,i like his music,i love music     
y allezvous ou pas ,are you going or not,are you going or not   
où vous dirigezvous ,where are you headed,where are you     
soyez calme ,be still,be calm      
jy serai,ill be there,ill be there     
les noisettes sont nourrissantes,nuts are nutritious,the are      
fichemoi simplement la paix ,just leave me alone,just leave try     
vous installezvous à demeure ,are you settling in,you  stay     
tom est infatigable,tom is tireless,tom is      
cest jour pluvieux,its a rainy day,its very ugly     
je tai sauvé la vie,i saved your life,i saved you life    
jen ai fini avec vous deux,im done with you two,im done with you    
il gagne gros,he earns a great deal,hes is be     
puisje avoir une carte routière ,may i have a road map,can i  a map   
jai un secret,i have a secret,i have a     
ils peuvent gérer,they can manage,they can manage     
il fait insupportablement chaud,its unbearably hot,its is hot     
je suis à la maison tout le temps,im home all the time,i am at the    
cest un aîné,hes a senior,this a mushroom     
bougez vos fesses les filles ,hurry up girls,step up girls     
je ne suis pas malheureux,im not miserable,im not sad     
je mène une vie prenante,i lead a busy life,i opened a double life   
jhabite à boston,i live in boston,im going in boston    
vous devez vous lever,you have to get up,you must to get    
pourquoi êtesvous si intelligente ,why are you so smart,why are you so    
voici ton chien,this is your dog,here is your dog    
tom peut mieux faire,tom can do better,tom knows better     
j’ai rendu les armes,i surrendered,i need your     
cétait plutôt amusant,it was sort of fun,it was quite funny    
tom est joyeux,toms cheerful,tom is      
tout changeait,everything changed,everything all      
fietoi à ma parole en la matière ,take my word for it,please call the     
je nai jamais touché tom,i never touched tom,i never ask tom    
tom ne sait pas peindre,tom cant paint,tom doesnt know it    
qui est lauteur ,whos the author,whos is      
faitesnous faire le tour,show us around,lets give to the    
je suis en vie,im alive,im good      
ta mère madore,your mother loves me,your mother loves me    
le plan a échoué,the plan has failed,breakfast failed      
cest honteux,thats a shame,this is shameful     
sontils toujours au lit ,are they still in bed,are you still in bed   
tout le monde atil faim ,is everyone hungry,is everybody hungry     
elle est en colère après toi,she is mad at you,she is angry with you   
tom parla toute la nuit,tom talked all night,tom spoke all night    
nous sommes consciencieux,were conscientious,were back      
allons chercher tom,lets pick up tom,lets get tom     
étaitce un oui ,was that a yes,was that a     
je vous ai eus,ive got you,i ive you     
elles ne sont pas mauvaises,theyre not evil,theyre not bad     
combien avezvous gagné ,how much did you win,how much did you have   
cest merveilleux ,its wonderful,its wonderful      
appeleznous ,call us,take for      
jai été chanceux aujourdhui,i was lucky today,i was lucky today    
jai fait quelques trucs,ive done some things,i made a huge email   
tom changera,tomll change,tom will change     
tu te lèves à six heures ,do you get up at six,you look at     
filme ceci,film this,use this      
il a fait delle sa femme,he made her his wife,he made up his wife   
faites bouillir ces pommes de terre,boil those potatoes,boil shoes      
il ressentit une douleur soudaine,he felt a sudden pain,he felt a little pain   
jadore votre maison,i love your house,i love your house    
remets ton chapeau,put your hat back on,put your  hat    
ils sont décédés,theyre dead,theyre dead      
ne sois pas si négatif ,dont be so negative,dont be so dramatic    
peuxtu développer ,can you elaborate,can you identify     
passemoi le vin,pass me the wine,hand me the wine    
vous avez ma tasse,you have my mug,you broke my     
pars dici,beat it,get away      
il est très talentueux,he is very talented,hes very talented     
nous nous amusons beaucoup,we have a lot of fun,we have  a    
tom est devenu violent,tom became violent,tom became violent     
ils ont dit non,they said no,they said no     
pourquoi tom ne partil pas ,why isnt tom going,why  tom     
je ne te voulais aucun mal,i meant you no harm,i meant you no harm   
enfourchez un cheval ,get on a horse,lets me a     
vous nêtes pas habillées,youre not dressed,youre not dressed     
je vais à luniversité,im going to college,im going the     
sa vie est en danger,his life is in danger,the is in danger    
restons ici,lets stay here,lets stay here     
ils tont fait confiance,they trusted you,they trusted you     
je ne pouvais pas parler,i couldnt speak,i couldnt speak     
tous les autres attendirent,everyone else waited,all  the others    
cest saturne,thats saturn,this is happens     
jy ai contribué,i contributed,i contributed      
vous êtes courtois,youre courteous,youre courteous      
nous sommes comme des frères,were like brothers,we are a     
je ressentis la même chose,i felt the same way,i feel the same    
je suis désolée de vous avoir blessés,im sorry i hurt you,im sorry i hurt    
je pense que tom peut vous aider,i think tom can help,i think tom can help   
tu sembles fatigué,you sound tired,you seem tired     
estu prête à travailler ,are you ready to work,are you ready to work   
tom a des hallucinations,toms hallucinating,tom is hallucinating     
puisje prendre un message ,can i take a message,may i take a receipt   
tu sembles satisfait,you look contented,you seem content     
êtesvous étudiant ,are you a student,are you a student    
parlemoi de ça,tell me about it,nobody will it     
je ne me sens pas bien,i feel unwell,i dont feel well    
vous êtes très marrant,youre very funny,youre very funny     
ça à lair bien écrit,it seems well written,it looks fine well    
tom semble désespéré,tom looks desperate,tom looks desperate     
nous voulons ce que nous voulons,we want what we want,we  you want    
je ne suis pas pressé,im in no hurry,im not in a rush   
nous nageâmes dans le lac,we swam in the lake,we going in hurry    
menezles moi ici ,bring them here to me,done it here     
cest la goutte qui fait déborder le vase ,thats the last straw,this is      
je serais reconnaissante,id be grateful,im be      
soyez gentilles ,be nice,be nice      
le couvercle est fermé,the lid is closed,the bar is     
où habitentils ,where do they live,where is they     
il a à peu près mon âge,he is about my age,hes is my age    
cet appareilphotoci est bon marché,this camera is cheap,this book is     
je me sens pris de malaise,i feel faint,i feel for myself    
vous avez réussi lexamen,you passed the test,you passed the test    
jarrive juste chez nous,im coming right home,im coming here home    
écoutez ,listen,listen to      
vous êtes très généreuses,youre very generous,youre very generous     
je suis très gras,im very fat,im very fat     
nous avons grandi ensemble,we grew up together,we grew up together    
je serai ton maître,ill be your teacher,ill be your     
prends les miennes,take mine,take mine      
aviezvous besoin de moi ,did you need me,do you have me    
elle coud une robe,she is sewing a dress,she has a     
cest toi qui las fait ,you did it,youre did  it    
nous avons plaisir à parler,we enjoy talking,we have some     
qui a fait ce gâteau ,who made this cake,who made this cake    
battez les œufs sil vous plaît,please beat the eggs,please wake the light    
cest une mauvaise personne,he is a bad person,thats a  bad person   
nous sommes allés à pied,we went on foot,we walked out     
vous êtes une vraie loque,youre a total wreck,youre a total wreck    
je ne suis pas là pour me battre,im not here to fight,im not tired to them   
tom est en colère contre nous,tom is mad at us,tom is angry for us   
nous marchâmes jusquà ma chambre,we walked to my room,we work my room    
ma sœur a un piano,my sister has a piano,my dad me a    
cest faux,thats untrue,thats is      
tom est disponible,toms free,tom is available     
je me suis assise par terre,i sat on the floor,i sat on his    
ceci est notre objectif principal,this is our main goal,this is our purpose    
je me suis trompé sur tom,i misjudged tom,i feel with tom    
je ne suis pas un menteur,im not a liar,im no liar     
il tombe,he is falling,hes henpecked      
tom observe,tom is observing,tom is      
je serai en retard,im going to be late,ill be late     
donneznous une minute daccord ,give us a minute ok,give us a minute    
peutêtre estce le destin,maybe its destiny,maybe is a worse    
ceuxlà ne sont pas à moi,those arent mine,theyre not mine me    
de quelle couleur estce ,what color is this,what color is this    
cest sa maison,that is her house,this is his house    
tu apprends rapidement,you learn quickly,you  quickly     
je suis habitué,im used to it,im used to it    
arrêtez ,cut it out,cut that out     
tom est décédé,tom passed away,tom died      
tu nes pas contusionnée,youre not bruised,youre not bruised     
les cochons ne volent pas,pigs cant fly,the birds  know    
ne recule pas ,dont back away,dont back      
elles ne peuvent me voir,they cant see me,they cant see me    
on ne te fera pas de mal,you wont be harmed,it wont be  you   
tu es très jolie,youre very pretty,youre very pretty     
il abandonna tout espoir,he abandoned all hope,he gave up hope    
tom a continué à creuser,tom continued digging,tom continued digging     
appelle une ambulance,call an ambulance,call a plumber     
en aije trop dit ,did i say too much,did i  too    
son père lappelle tom,his dad calls him tom,his father her     
savezvous qui il est ,do you know who he is,do you know who he is  
je déteste les fanatiques,i hate fanatics,i hate sundays     
avonsnous la moindre chance ,do we have any chance,do we able a of   
il parle trop vite,he talks too fast,he speaks too fast    
cest ta maison,this is your house,this is your house    
je suis fainéant,im lazy,im lazy      
où est tom actuellement ,wheres tom now,where is this now    
jai craint le pire,i feared the worst,i use the worst    
tout le monde est fatigué,everyone is tired,everybodys tired      
je ne veux pas dire vous,i dont mean you,i dont want to you   
tom sest senti idiot,tom felt foolish,tom felt dumb     
laissele sen aller,let him go,let him go     
vous êtes tous prêts,youre all set,are all  ready    
avezvous été blessé ,were you hurt,were you hurt     
sommesnous prêts ,are we prepared,are we ready     
nous voulons tom,we want tom,we want tom     
comment cela se pourraitil ,how could it be,how does that     
boxer est ennuyant,boxing is boring,this is      
il est trop vieux pour vous,hes too old for you,hes too old for you   
jy suis allé deux fois,i went twice,i went twice there    
voici de leau,here is some water,here water      
je suis calme,im calm,im calm      
jai été un peu malchanceux,i was a bit unlucky,i was a little dizzy   
de quoi ontils besoin ,what do they need,what did they need    
vous avez lair dun garçon,you look like a boy,you look like a    
la nourriture est horrible,the food is horrible,the food is terrible    
je vais rentrer en taxi,ill take a cab home,im going to a    
estil chez lui ,is he at home,is he at     
puisje manger dans ma chambre ,can i eat in my room,may i eat the my   
je suppose que je me suis endormie,i guess i fell asleep,i guess i fell asleep   
tourne autour je te prie ,turn around please,turn around      
ils se moquèrent de moi,they made fun of me,they shouted me     
venez avec nous,come with us,come along us     
elles ont peur de nous,theyre afraid of us,theyre afraid of us    
je suis en chemin,im on my way,im on the way    
vous avez bien deviné,you guessed right,you guessed right     
elle lui a donné une montre,she gave him a watch,she gave him a watch   
jétais tellement déçu,i was so disappointed,i was so tired    
nous les respectons,we respect them,well miss tomorrow     
il venait darriver,he had just arrived,hes finally coming     
tu sembles contrariée,you seem upset,you seem upset     
cest le sien,thats his,its hers      
combien de temps aije sommeillé ,how long did i sleep,how  did you stay   
vous fiezvous à quiconque ,do you trust anyone,do you trust anyone    
cest tellement différent maintenant,its so different now,its so now     
estce que cela vous plaît ,are you enjoying it,do you enjoying it    
moi je nen ai pas fini avec toi,im not done with you,im not done with you   
je le cuisis pour toi,i baked it for you,i baked it for you   
restez hors de ma vue ,keep out of sight,stand on me     
tu es cinglé,youre crazy,youre wicked      
ce fut votre choix,that was your choice,it was your choice    
jaimerais aussi y aller,id like to go too,id like  to go   
sortez les ordures,take the garbage out,take out the trash    
laissemoi payer ma part,let me pay my share,let me  my share   
je le sais,i know this,i know it     
pourquoi mastu embrassé ,why did you kiss me,why did you kiss me   
laije dit de travers ,did i say it wrong,did i  right    
elle a décidé dy aller,she decided to go,she decided to go    
jai tué le moustique,i killed the mosquito,i started the     
tom ne sest pas fait prendre,tom didnt get caught,tom got      
du bœuf sil vous plaît,beef please,please open it     
appellez ma fille,call my daughter,call my daughter     
jaime le café brûlant,i like coffee hot,i like hot coffee    
cest dangereux ,its dangerous,its dangerous      
estce une bonne affaire ,is it a deal,is it a spot    
je ne reviendrai pas,im not coming back,i wont return     
estelle japonaise ,is she japanese,is tom you     
regarde ta carte,look at your map,look at your map    
tom a failli rire,tom almost laughed,tom almost asleep     
cest une tragédie,this is a tragedy,thats a      
vous êtes spécial,youre special,youre special      
estce les vôtres ,are those yours,is this permissible     
comme cest malin ,how clever,how clever      
aucun taxi ne sarrêta,no taxi stopped,no one has     
japporte du vin,im bringing wine,now wine      
tom va crier,tom will scream,tom is screaming     
aucun accord na été conclu,no deal was struck,no one was     
je peux le prouver,i can prove it,i can prove it    
je ne suis pas du tout fatigué,im not a bit tired,im not at all tired   
jai tendance à attraper froid,i tend to catch colds,i study      
il ma ignorée,he ignored me,he touched me     
il construisait une nouvelle maison,he built a new house,he has a new house   
je fis retentir la cloche,i rang the bell,i rang the bell    
nous fermons tôt,were closing early,we moved early     
cétait très bien,it was very good,it was very good    
jespère que tom gagnera,i hope tom wins,i hope tom will win   
ce nétait pas une fête,it wasnt a party,it was no deal    
je ferai un essai,ill give it a try,ill take a margarita    
il est dans mon sac à dos,its in my backpack,hes my  new mom   
elles savent qui cest,they know who he is,they know who he is   
sen remettratil ,will he recover,bring it      
vous êtes fort ingénieuses,youre very clever,youre very clever     
je viens de me faire faire un tatouage,i just got a tattoo,i just do did a   
ils sont abîmés,theyre broken,theyre idiots      
ils lignorent encore,they dont know yet,they dont know yet    
il pleuvra sans aucun doute,itll rain for sure,he might doubt     
ce nest pas acceptable,thats not acceptable,its not      
estce que tu captes ,do you get it,do you get it    
je nai absolument rien étudié,i didnt study at all,i didnt nothing a    
tom ny peut rien,tom cant help,tom can      
de thé sil vous plaît,tea please,please       
tom est plein démotion,tom is emotional,tom is in     
je trouvais ce vin bon,i liked that wine,i found this camera    
tom changea de travail,tom changed jobs,tom changed jobs     
nous avons besoin de votre soutien,we need your support,we need your     
cest toi la maîtresse,youre the master,youre the master     
on arrive,were coming,were going      
cest un bon médecin,he is a good doctor,thats a  doctor    
tu ferais mieux de te grouiller ,you better hurry,youd better hurry     
cest plus profond que ça,its deeper than that,thats how to it    
écoute ta mère ,listen to your mother,listen your mother     
mange tout,eat everything,eat everything      
cest plutôt grand,its quite large,thats pretty big     
je pense que nous avons perdu tom,i think we lost tom,i know you tom    
jai été contrariée,i got upset,i was upset     
mon livre est ici,my book is here,my book is here    
jai été très flattée,i was very flattered,i was very anxious    
je viens den obtenir le titre de propriété,i just got tenure,i just all a    
il est venu en courant,he came running,he came to the    
je pliai les serviettes,i folded the towels,i remember the     
il ne sagit pas dun mensonge,thats no lie,thats not a lie    
puisje emprunter le tien ,can i borrow yours,may i borrow this    
je me demande qui la pris,i wonder who took it,i wonder who it this   
il me fallait faire quelque chose,i had to do something,i didnt say something    
ôtez votre chapeau ,take off your hat,lets off your hat    
ils sont venus la semaine passée,they came last week,they saw last  week   
personne ne connaît son nom,no one knows her name,nobody knows his name    
astu besoin dune cuillère ,do you need a spoon,do you need a spoon   
êtesvous sérieusement malade ,are you seriously ill,are you seriously sick    
quen pensestu ,what do you think,how do you like that   
elles rigolent,theyre kidding,theyre kidding      
ils gagnèrent,they won,they won      
laissezmoi faire ça,let me do that,leave it to do    
puisje avoir une serviette ,may i have a napkin,can i have a    
vous avez toutes deux tort,youre both wrong,youre of wrong     
suivez votre désir,follow your desire,follow your desire     
il est jeune et célibataire,hes young and single,hes is single     
cest une fille intelligente,shes a smart girl,thats a clever daughter    
il avait lair très fatigué,he looked very tired,he looked very tired    
avezvous été obéissante ,were you obedient,were you have     
elles ont besoin dinvestisseurs,they need investors,they need one     
tout le monde taime bien,everyone likes you,everybody  you     
je lai gardé avec moi,i kept it with me,i made up for me   
jai des amis ici,i have friends here,ive have friends here    
questce que je peux y faire ,what can i do there,how can do  this   
cest ton casier ,is this your locker,this your offensive     
cest tout ce que je sais,its all i know,thats all i know    
tom en savait trop,tom knew too much,tom knew that much    
tu as fait pleurer tom,youve made tom cry,you read him tom    
nous sommes à court de lait,were out of milk,were out of milk    
je suis sérieuse,im being serious,im really bluffing     
nous sommes matures,were mature,were free      
tom a pris une autre gorgée,tom took another sip,tom took another sip    
je suis déjà au courant,i know that already,im already to told    
je suis irremplaçable,im irreplaceable,im am      
il fait des progrès,hes making progress,he is astronaut     
tom a regardé attentivement,tom stared intently,tom fought      
estil déjà de retour ,is he back already,is she he yet    
trouvezmoi un verre,find me a glass,pour me a drink    
tu es lélue,you are the one,you are the one    
jai besoin dun médecin,i need a doctor,i need a medic    
vous êtes veinardes,youre in luck,youre in luck     
êtesvous encore jalouse ,are you still jealous,are you still jealous    
pleurezvous ,are you crying,lets get      
je joue aux jeux vidéo,i play video games,i play off the    
tom na pas crié,tom didnt scream,tom kept jokes     
allez essayons ,come on lets try it,come on      
tout le monde a été daccord,everyone agreed,everybody was ok     
le bateau brûle,the boat is on fire,the coal is     
buvezle ,drink it down,itll it      
bien joué ,good job,well done      
questce que cest que ça làbas ,whats that there,what that  there    
surveille le prisonnier,watch the prisoner,watch the gun     
je souhaite que vous la voyiez,i want you to see her,i you  to see   
oublie ça,let go of it,forget that      
je ne vis pas avec tom,i dont live with tom,i didnt with tom    
ce nétait pas cher,it wasnt expensive,it wasnt expensive     
qui ne gaspille pas ne manque de rien,waste not want not,i cant nothing     
jai dit que jétais désolé,ive said im sorry,i said i  sorry   
elle le lui donna,she gave it to him,she gave it to him   
jétais un enfant en bonne santé,i was a healthy child,i was a very tv   
javais dautres plans,i had other plans,i had three plans    
quel genre de problèmes astu ,whats your problem,what a      
cest super facile,thats super easy,this is      
où étiezvous aujourdhui ,where were you today,where were you today    
cest le garçon,this is the boy,this is the boy    
identifietoi,identify yourself,lets it      
aujourdhui on est mercredi,today is wednesday,its is thin     
vous plaisantez ,youre joking,are you      
je me sens tellement gêné ,i feel so embarrassed,i feel so tired    
tom aime naviguer,tom enjoys sailing,tom likes loves     
tom le sait,tom knows that,tom knows      
vous êtes libres dy aller,youre free to go,youre free go     
jaimerais me lever,id like to stand,id like to stand    
cest une hybride,this is a hybrid,its a      
cétait très bien,that was very good,it was very good    
je suis offensée,im offended,im offended      
je nai pas pris ça,i didnt take it,i didnt do this    
je suis sûre quelles vont gagner,im sure theyll win,im sure theyll win    
il détient de nombreuses terres,he has a lot of land,he has a of    
estce que tu aimes la musique ,are you fond of music,do you like music    
vous pouvez vous y fier,you can depend on it,you can you     
la criminalité est en baisse,crime is down,the server is down    
jaime faire du jogging,i like jogging,i like to dress    
cest beaucoup de liquide,thats a lot of cash,its a nice     
elle est sur mon bureau,its on my desk,shes is on my office   
je suis venu vous aider,ive come to help you,i forgot to help    
que naimestu pas ,what dont you like,what dont you not    
cest ce que tu penses,thats what you think,thats your      
il a peint un chien,he painted a dog,he took a dog    
estce assez bon ,is that good enough,is that good     
une infirmière shabille en blanc,a nurse wears white,our a  white    
ma bouteille sest cassée,my bottle broke,the cat is broke    
tom semble calme,tom seems calm,tom seems calm     
jai continué à lire,i continued reading,i kept reading     
ne vire personne ,dont fire anyone,dont to no     
il a changé de boulot,he changed his job,he changed his job    
tom sourit,toms smiling,tom is smiling     
les chats aiment les boîtes,cats like boxes,do cats the cats    
estu seul ici ,are you here alone,are you here alone    
cest ma question,this is my question,thats my      
ça sonnait bien,that sounded good,it  well     
jaime danser,i like to dance,i like to dancing    
jétais dégoûté,i was disgusted,i  disgusted     
je dois y aller seule,i must go alone,i must go  alone   
quastu entendu ,what have you heard,what did you heard    
je suis à court de temps,i am out of time,im out of  time   
ils travaillent,theyre working,they work      
il est furieux contre vous,he is angry with you,he is in love you   
je te respecte,i respect you,i call you     
le déjeuner est prêt,lunch is on,the is ready     
nous sommes vraiment bons,were really good,were really good     
elle sest mise à transpirer,she began to sweat,she began to sweat    
nous pouvons gagner cette guerre,we can win this war,we can know why    
je dis la vérité,im truthful,i tell the truth    
ma maman me manque,i miss my mom,i miss my mother    
tom est psychologue,tom is a psychologist,tom is      
questu en train de faire ,whatre you doing,how you      
vous êtes le professeur,youre the teacher,youre the teacher     
tom a fait un bon travail,tom did a good job,tom did a good job   
tout le monde devrait partir,everyone should go,everyone will leave     
nous sommes daccord,were in agreement,well agree      
il a beaucoup dassurance,he has a lot of poise,he has a little singer   
irezvous ,will you go,will you be going    
tu as été génial aujourdhui,you were great today,were you great today    
je ne suis pas encore prête,im not ready yet,i am not ready    
aimestu lété ,do you like summer,do you like summer    
jai des préjugés,im prejudiced,im biased      
je vous verrai demain,see you tomorrow,see  you     
je ne transpire pas,im not sweating,i dont bite     
jai fait ce que tu as demandé,i did what you asked,i did what you asked   
cétait qui ,who was that,it was understandable     
tom est le plus fort,tom is the strongest,tom is the     
il nest pas toujours en retard,he is not always late,hes not  late    
tu plaisantes ,youre kidding,are you joking     
tom est ici non ,tom is here right,tom is right     
dieu que vous êtes belle ,god youre beautiful,god are beautiful     
jai mal aux dents,i have a toothache,ive have a     
je pars au boulot,i go to work,im going to a job   
écoute attentivement,listen closely,listen carefully      
dépêchetoi de venir ,come quickly,come up      
je ne vous apprécie même pas,i dont even like you,i really even like you   
laissemoi tranquille ,leave me alone,let me      
considérez ça comme réglé,consider it done,it is as to    
je suis enseignant en français,im a french teacher,im enjoy your     
envoiemoi un message en ligne,message me online,send me a new    
tom est mûr,tom is mature,tom is sexy     
jai besoin de tes conseils,i require your advice,i need your advice    
aucun argent na été volé,no money was stolen,no was      
nous voulons y aller,we want to go,we want to go    
je suis fière de moi,im proud of myself,im proud of you    
tu te sentiras comme à la maison,youll feel at home,you  like home    
jai tourné la page,i turned the page,i turned the page    
tu es très peureuse,youre very timid,youre very timid     
tom est débordé,tom is overwhelmed,tom is      
jespère que tom a raison,i hope toms right,i hope tom is right   
tu ne peux pas encore ten aller,you cant go yet,you cant go yet    
on peut faire confiance à tom,tom can be relied on,we can rely on tom   
où sont tes clés ,where are your keys,where are your keys    
quelle précision estce que ça a ,how accurate is it,what  this it    
où est le docteur ,wheres the doctor,wheres the bakery     
mon estomac me fait mal,my stomach hurts,my me      
nous avons une heure de retard,were an hour behind,we have a much    
pourquoi devraisje démissionner ,why should i quit,why should i eat    
reste tranquille ,keep quiet,keep quiet      
je lai mise sur votre bureau,i put it on your desk,i put it on your desk  
jai fait ça pour survivre,i did that to survive,i did that this    
tu connais mes conditions,you know my terms,you know my terms    
jai pris une semaine de congés,i took a week off,i got a week    
